X_mm;Y_mm;Z_mm
1.197744603278923847e+02;7.488957088666835205e+01;1.894700048991094565e+00
6.416004648319332659e+01;7.619676260286198044e+01;2.075707350904281157e+00
1.033287228947639136e+02;7.533525103942953649e+01;5.225393168734360216e-01
1.914276481797682834e+02;7.400258617267354566e+01;6.978259108885840334e-01
2.308894038553970347e+02;7.404161575241046478e+01;4.104980307233904391e+00
1.203630541258050215e+02;7.500812095067300334e+01;1.003825512126521602e+00
6.084072648460463739e+01;7.587839126799327971e+01;1.420677870608476390e+00
6.386807664406416762e+01;7.618826237388962852e+01;2.172822373521411610e+00
1.899373974980691173e+02;7.386503973312593985e+01;1.449615460668315592e+00
2.067688761137306699e+02;7.332356809255324492e+01;4.660103719324639737e-01
2.018503333458631062e+02;7.445584296410697789e+01;4.516446304825849190e+00
7.870941006491297287e+01;7.579999732825534409e+01;1.199592437399374267e+00
9.001134053934124779e+01;7.596602138139046190e+01;2.724825144447363456e+00
6.436255195152936892e+01;7.592237660619750272e+01;1.069884966775570767e+00
2.163681832477302578e+02;7.357763690260195233e+01;4.884790797862543776e+00
6.535219711236123885e+01;7.596206316542962611e+01;1.101902855354215394e+00
2.018906723541663268e+02;7.375584370974355863e+01;9.894477494076929780e-01
1.604101213242559254e+02;7.481678798130933217e+01;2.114378723564708462e+00
6.947720332131886778e+01;7.595533590365950261e+01;1.484131406348729199e+00
6.585838398368986191e+01;7.596139139016227659e+01;1.115279058239170729e+00
4.452894524955195266e+01;7.632705147323814288e+01;1.245591799167009128e+00
1.253628464603518324e+02;7.460309402352530128e+01;1.982910829371477668e+00
1.148508966777555287e+02;7.464497266165749068e+01;9.340869344446420808e-01
7.435938750420577037e+01;7.587748433585834107e+01;1.166567661275691004e+00
2.443574958872928846e+02;7.382281719290081412e+01;4.991643677662452205e+00
2.355163427245827847e+02;7.348611916469108962e+01;5.372454991903316213e+00
2.083588588738790293e+02;7.397347536683939495e+01;4.620716196143147769e+00
2.367929830103147708e+02;7.294154812923861186e+01;6.375801738968274179e-01
2.433500318124802391e+02;7.296572627076155015e+01;5.299597125556017030e-01
2.328486647142286188e+02;7.255678534749804953e+01;1.401843416921208840e+00
6.694810500615206195e+01;7.613482973487379013e+01;2.133957066908143130e+00
9.733436305173017900e+01;7.587919046364702069e+01;3.024471750336286568e+00
2.058475030549294331e+02;7.303972030055946618e+01;1.090260431293320620e+00
1.148245027775445664e+02;7.488595381559547093e+01;9.341753884070469471e-01
1.919058584450980902e+02;7.390089555687853817e+01;9.221235185568356085e-01
1.308787810340820954e+02;7.500147963796696615e+01;1.996969066728011777e+00
2.288286891422275176e+02;7.395574454137447162e+01;4.616409342544164573e+00
6.734091932411867276e+01;7.610823477992725827e+01;2.190985235529994135e+00
1.168163619386812826e+02;7.507898397564341053e+01;3.415012644270387199e+00
8.937329459717820157e+01;7.597648648461635901e+01;3.047927663411826860e+00
2.424833580640508330e+02;7.351425975019954251e+01;4.549991293048334384e+00
2.470023944751203544e+02;7.291393008168981282e+01;4.070732836227577423e+00
6.798763098371219371e+01;7.585758650540549297e+01;4.432982483910345439e-01
2.388478409804815783e+02;7.287650944127041441e+01;4.246123536815179733e+00
1.584722015460398836e+02;7.469392894234063363e+01;1.202388500324892195e+00
2.424112654548623595e+02;7.348494994816428516e+01;5.839977504485927895e+00
2.088844758126155057e+02;7.382884918623065573e+01;5.024906691036442830e+00
2.013824848744957592e+02;7.329198302175699098e+01;1.476856705540264159e+00
2.283661129337234001e+02;7.302633774991565474e+01;6.015029357665185872e-01
6.787748394764948046e+01;7.610257125133071554e+01;2.175271275474653709e+00
8.094225999482540601e+01;7.600211936105129951e+01;2.921733402052951956e+00
2.299178106102187087e+02;7.332500348761756470e+01;9.058013533647694127e-01
8.231324984339057949e+01;7.573788125224335488e+01;3.746877055230783404e-01
2.461965661678568438e+02;7.349612614195925175e+01;4.090095576945018685e+00
1.683213841642220032e+01;7.646091834978378188e+01;4.950361709006353417e-01
1.244215653379329325e+02;7.529792505248495615e+01;1.721755887119443384e+00
6.837612803320040200e+01;7.598493376974847990e+01;2.491001010878437949e+00
6.883419999554070046e+01;7.579050355754691282e+01;4.706557006967604928e-01
1.053872018223065794e+02;7.525922495718916139e+01;6.083611942905620129e-01
1.359433345896657386e+02;7.493435578128026009e+01;2.574786230775333529e+00
1.397309169964230477e+02;7.461473321142257475e+01;3.047331047503034629e+00
8.988971998044695511e+01;7.540491482926651656e+01;4.118735142372443869e-01
2.127839146257576033e+02;7.422230270892802650e+01;4.413018149359298370e+00
7.212661784302659385e+01;7.556975474332649867e+01;2.065723225536672647e+00
1.230270069609830017e+02;7.517837481467223881e+01;3.819889941682965251e+00
1.589069990431177359e+02;7.408875504819617674e+01;2.015718123179704335e+00
7.935213186988174527e+01;7.598905877830314637e+01;2.532650894495484195e+00
1.333925012730552737e+02;7.496138693530633645e+01;3.427267901475649303e+00
6.937388551661237557e+01;7.599690696015341018e+01;1.057663542849025973e+00
2.307825006983451885e+02;7.411920817306975096e+01;4.410199097578295202e+00
1.209314411181284896e+02;7.521845306013955224e+01;2.045310962655748632e+00
1.973608222872364593e+02;7.385349092500145218e+01;5.754878000015334338e-01
2.208500770681492611e+02;7.352605653208459557e+01;6.403159032662876227e-01
1.914027518154773873e+02;7.456328407794637769e+01;4.587449106140165433e+00
6.980733169724288700e+01;7.595629155720486381e+01;1.154076565040283331e+00
6.586725528363082560e+01;7.592323798264895629e+01;1.435490726764269809e+00
7.433140481270028488e+01;7.592723924010452663e+01;2.517643513216474283e+00
4.445312925550798866e+01;7.646111080485989930e+01;1.510158417299552580e+00
1.914069754277980167e+02;7.336572845969389789e+01;1.137619986679719197e+00
7.034260946387699676e+01;7.600074097791635097e+01;2.141321524536590637e+00
2.417881136625039460e+02;7.322204971098270221e+01;9.456810627749087095e-01
2.463524383671378359e+02;7.304806515591999982e+01;1.531355253746193856e+00
2.284186931926638238e+02;7.292197103887119169e+01;1.918958450071530208e+00
7.333739436799035616e+01;7.590229871029919195e+01;1.142933961891398509e+00
1.242978320505759342e+02;7.539151628092751878e+01;2.551330376882924966e+00
7.086719317755196812e+01;7.589033254912855853e+01;1.126579769538738063e+00
1.943246276860926116e+02;7.356144641605514778e+01;6.215320963119552733e-01
2.453225672627650340e+02;7.358572244795840334e+01;4.712387922352043290e+00
9.772896666601343441e+01;7.567786073349279263e+01;2.922953887013646224e+00
1.938730531193486115e+02;7.394415667841219886e+01;4.943145531451038188e+00
1.373781074354813256e+02;7.493961244974207148e+01;1.962474522797249987e+00
1.928890650157974562e+02;7.394542492429579283e+01;4.667177496352827859e+00
7.286941847998890864e+01;7.590182700220890410e+01;1.129618184622253274e+00
1.334121335576519130e+02;7.529021991603997321e+01;3.023143050465338266e+00
7.082435774332762435e+01;7.572628901223080788e+01;1.737945676229208924e-01
1.034571064046259323e+02;7.527213828816860541e+01;9.400700963045327541e-01
1.071319975191725291e+02;7.516370223337938228e+01;1.189003987176835420e+00
6.340426663455741618e+01;7.580907295243746091e+01;6.281913873971902706e-01
7.227872549299108584e+01;7.584469940200175131e+01;2.056722212420500018e+00
7.989702770771259566e+01;7.624336398950973148e+01;2.735594708983687173e+00
2.433437997666300419e+02;7.242756477419008831e+01;1.100880770242433471e+00
2.061800387487569992e+02;7.378741198154243364e+01;1.064357190485395177e-01
2.544135139149162228e+01;7.629534930623198363e+01;4.554693803139701624e-01
2.029066988477603104e+02;7.384543447017784956e+01;5.754635946193134011e-01
9.586217138164691676e+01;7.543916900247431556e+01;5.020470548514592846e-01
1.283287080472981074e+02;7.481682550464695680e+01;2.106816747232217679e+00
7.491013010795279570e+01;7.548236267296854862e+01;4.825008408724366649e-01
1.918245310244518578e+02;7.438133005652332486e+01;5.593805027856104672e+00
1.307573663507407389e+02;7.515248250890789450e+01;1.133983701948252598e+00
8.042999044125855335e+01;7.604159680863206461e+01;2.917493590197159481e+00
7.279988531191314394e+01;7.584030011985959163e+01;2.554798769915581413e+00
7.590155099672084305e+01;7.542739834638469176e+01;5.064065447019433508e-01
1.038355144466919313e+02;7.557189519683610968e+01;3.577409780104544357e+00
2.398505495952503566e+02;7.250010827443128392e+01;1.126691273366848378e+00
2.236553654001453424e+02;7.361269352014990375e+01;4.514428710290944835e+00
1.279098340359036001e+02;7.538463699910589355e+01;3.009856877431710931e+00
7.633298869239317241e+01;7.574883121932910512e+01;6.072199150702297654e-01
